Index	Plate	Row	Col	LC_Position	Date	Signature	Sample_name	Compound	Timepoint	Well_Type	LC_Well_Type	Replicate	Sample_text
119	4	B	11	4:B,11						blank	blank		blank
120	4	B	12	4:B,12						blank	blank		blank
121	4	C	1	4:C,1						blank	blank		blank
122	4	C	2	4:C,2						blank	blank		blank
123	4	C	3	4:C,3						blank	blank		blank
124	4	C	4	4:C,4						blank	blank		blank
125	4	C	5	4:C,5						blank	blank		blank
126	4	C	6	4:C,6						blank	blank		blank
127	4	C	7	4:C,7						blank	blank		blank
128	4	C	8	4:C,8						blank	blank		blank
129	4	C	9	4:C,9						blank	blank		blank
130	4	C	10	4:C,10						blank	blank		blank
131	4	C	11	4:C,11						blank	blank		blank
132	4	C	12	4:C,12						blank	blank		blank
133	4	D	1	4:D,1						blank	blank		blank
134	4	D	2	4:D,2						blank	blank		blank
135	4	D	3	4:D,3						blank	blank		blank
136	4	D	4	4:D,4						blank	blank		blank
137	4	D	5	4:D,5						blank	blank		blank
138	4	D	6	4:D,6						blank	blank		blank
139	4	D	7	4:D,7						blank	blank		blank
140	4	D	8	4:D,8						blank	blank		blank
141	4	D	9	4:D,9						blank	blank		blank
142	4	D	10	4:D,10						blank	blank		blank
143	4	D	11	4:D,11						blank	blank		blank
144	4	D	12	4:D,12						blank	blank		blank
145	4	E	1	4:E,1						blank	blank		blank
146	4	E	2	4:E,2						blank	blank		blank
147	4	E	3	4:E,3						blank	blank		blank
148	4	E	4	4:E,4						blank	blank		blank
149	4	E	5	4:E,5						blank	blank		blank
150	4	E	6	4:E,6						blank	blank		blank
151	4	E	7	4:E,7						blank	blank		blank
152	4	E	8	4:E,8						blank	blank		blank
153	4	E	9	4:E,9						blank	blank		blank
154	4	E	10	4:E,10						blank	blank		blank
155	4	E	11	4:E,11						blank	blank		blank
156	4	E	12	4:E,12						blank	blank		blank
157	4	F	1	4:F,1						blank	blank		blank
158	4	F	2	4:F,2						blank	blank		blank
159	4	F	3	4:F,3						blank	blank		blank
160	4	F	4	4:F,4						blank	blank		blank
161	4	F	5	4:F,5						blank	blank		blank
162	4	F	6	4:F,6						blank	blank		blank
163	4	F	7	4:F,7						blank	blank		blank
164	4	F	8	4:F,8						blank	blank		blank
165	4	F	9	4:F,9						blank	blank		blank
166	4	F	10	4:F,10						blank	blank		blank
167	4	F	11	4:F,11						blank	blank		blank
168	4	F	12	4:F,12						blank	blank		blank
169	4	G	1	4:G,1						blank	blank		blank
170	4	G	2	4:G,2						blank	blank		blank
171	4	G	3	4:G,3						blank	blank		blank
172	4	G	4	4:G,4						blank	blank		blank
173	4	G	5	4:G,5						blank	blank		blank
174	4	G	6	4:G,6						blank	blank		blank
175	4	G	7	4:G,7						blank	blank		blank
176	4	G	8	4:G,8						blank	blank		blank
177	4	G	9	4:G,9						blank	blank		blank
178	4	G	10	4:G,10						blank	blank		blank
179	4	G	11	4:G,11						blank	blank		blank
180	4	G	12	4:G,12						blank	blank		blank
181	4	H	1	4:H,1						blank	blank		blank
182	4	H	2	4:H,2						blank	blank		blank
183	4	H	3	4:H,3						blank	blank		blank
184	4	H	4	4:H,4						blank	blank		blank
185	4	H	5	4:H,5						blank	blank		blank
186	4	H	6	4:H,6						blank	blank		blank
